transform,total_freq,label_ratio,impact_ratio,fail_num,pass_num,sus_score
"('insert', (), ('punct',))",56,1.0,0.017857142857142856,1,55,27.067669172932334
"('insert', (), ('ROOT',))",6,1.0,0.16666666666666666,0,6,59.75103734439834
"('insert', (), ('dep', 'prep', 'det', 'pobj', 'prep', 'pobj', 'punct'))",3,1.0,0.3333333333333333,1,2,87.38621586475944
"('replace', ('ROOT',), ('npadvmod',))",3,1.0,0.3333333333333333,0,3,72.20630372492836
"('insert', (), ('dep', 'ROOT', 'prep', 'det', 'amod', 'pobj', 'acl', 'prt', 'agent', 'pobj', 'prep', 'amod', 'pobj', 'punct', 'prep', 'amod', 'pobj', 'prep', 'pobj', 'cc', 'det', 'amod', 'conj', 'prep', 'pobj', 'punct', 'punct'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('prep',), ('dep',))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('dep', 'dep', 'det', 'dobj', 'punct', 'punct'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('dep', 'amod', 'cc', 'punct'))",2,1.0,0.5,0,2,77.59815242494227
"('insert', (), ('dep', 'conj', 'det', 'dobj', 'punct', 'punct'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('dep', 'dep', 'cc', 'punct'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('dep', 'ccomp', 'amod', 'dobj', 'prep', 'pobj', 'punct'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('ROOT',), ('compound', 'compound', 'compound', 'compound', 'nsubj', 'advmod', 'ROOT', 'det'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('amod', 'attr'), ('advmod', 'amod', 'dobj', 'punct', 'prep'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('ROOT',), ('amod', 'nsubj', 'ROOT', 'dep', 'dobj', 'punct', 'aux', 'dobj'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('ROOT', 'compound', 'dep', 'det', 'neg', 'amod', 'appos', 'punct', 'punct', 'cc', 'csubj', 'dobj', 'conj', 'prep', 'dep', 'compound', 'pobj', 'det', 'nmod', 'punct', 'advcl'))",1,1.0,1.0,0,1,83.86023294509151
"('delete', ('pobj', 'punct', 'ROOT', 'neg', 'amod', 'attr', 'prep', 'det', 'pobj', 'cc'), ())",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('pobj',))",2,1.0,0.5,0,2,77.59815242494227
"('replace', ('ROOT',), ('compound', 'dep', 'cc', 'punct', 'conj', 'punct', 'npadvmod', 'punct', 'amod', 'det', 'poss', 'case', 'compound', 'compound', 'appos', 'ROOT', 'xcomp'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('punct', 'ROOT', 'prep', 'dep', 'cc', 'conj', 'amod', 'amod', 'amod', 'acomp', 'prep', 'pobj', 'aux', 'advmod', 'relcl', 'prep', 'pobj'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('amod', 'cc', 'advmod', 'conj', 'pobj'), ('npadvmod',))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('advmod',), ('nsubj', 'prep', 'pobj', 'ROOT', 'prep', 'dep', 'pobj', 'punct', 'cc', 'punct', 'aux', 'punct', 'poss', 'case', 'nsubj', 'nsubj', 'xcomp', 'det', 'npadvmod', 'punct', 'dobj', 'dep', 'ROOT', 'nummod', 'dobj', 'prep', 'compound', 'pobj', 'npadvmod'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('ROOT',), ('amod', 'pobj'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('punct', 'mark', 'nsubj', 'prep', 'det', 'pobj', 'advcl', 'prt', 'det', 'dobj', 'cc', 'conj', 'advmod'), ('advmod',))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('advmod', 'advcl', 'punct', 'nsubj', 'aux'), ('aux',))",1,1.0,1.0,0,1,83.86023294509151
